account_id,name,industry,segment,employees,annual_revenue,region,metro,current_arr,whitespace_potential,open_pipeline,propensity_score
A-10000,Northwind Systems,Financial Services,Mid-Market,593,277410000.0,NA-West,Seattle,2300.0,8600.0,5000.0,0.646
A-10001,Tyrell Industries,Retail,Enterprise,9463,19165655000.0,NA-East,Austin,16800.0,27500.0,8600.0,0.59
A-10002,Prestige Partners,Education,Enterprise,44501,7551883000.0,NA-West,Seattle,11700.0,27600.0,9700.0,0.418
A-10003,Dunder Analytics,Financial Services,Enterprise,31238,3837204000.0,NA-East,Atlanta,30500.0,27900.0,17300.0,0.698
A-10004,Oscorp Cloud,Media,Enterprise,12206,10235010000.0,NA-West,Phoenix,36000.0,14100.0,4500.0,0.166
A-10005,Soylent Group,Logistics,Mid-Market,1088,390102000.0,NA-West,Los Angeles,10600.0,9400.0,3600.0,0.488
A-10006,Acme Analytics,Financial Services,Enterprise,34722,10970921000.0,NA-West,Denver,14300.0,16500.0,12600.0,0.5
A-10007,Gekko Networks,Manufacturing,Mid-Market,475,393130000.0,NA-West,Denver,7400.0,9000.0,6100.0,0.63
A-10008,Soylent Systems,Manufacturing,SMB,176,47401000.0,NA-East,New York,600.0,4200.0,2500.0,0.807
A-10009,Prestige Cloud,Manufacturing,Mid-Market,1483,229547000.0,NA-West,Phoenix,8700.0,7900.0,3200.0,0.63
A-10010,Globex Cloud,Software,Mid-Market,612,457439000.0,EMEA,Madrid,10600.0,5300.0,2400.0,0.319
A-10011,Initech Analytics,Telecom,Enterprise,19006,8516494000.0,NA-West,Denver,35200.0,23000.0,6900.0,0.335
A-10012,Aperture Holdings,Financial Services,Enterprise,23270,17296308000.0,NA-East,New York,24300.0,12400.0,6700.0,0.321
A-10013,Hooli Solutions,Retail,Enterprise,22304,19167694000.0,APAC,Sydney,39800.0,19600.0,18700.0,0.549
A-10014,Northwind Networks,Energy,Mid-Market,1105,433724000.0,NA-East,Boston,3600.0,6100.0,3800.0,0.683
A-10015,Hooli Holdings,Media,SMB,55,20394000.0,NA-West,Los Angeles,2800.0,3000.0,1500.0,0.829
A-10016,Umbra Industries,Financial Services,Mid-Market,1782,216287000.0,NA-West,San Francisco,3600.0,5000.0,2200.0,0.055
A-10017,Hooli Labs,Financial Services,SMB,151,8617000.0,NA-East,Austin,1300.0,1200.0,2000.0,0.485
A-10018,Umbra Analytics,Retail,Mid-Market,490,248826000.0,NA-West,Seattle,9100.0,4900.0,3100.0,0.424
A-10019,Northwind Industries,Manufacturing,Mid-Market,1427,350120000.0,NA-West,Los Angeles,5500.0,5500.0,3200.0,0.478
A-10020,Tyrell Systems,Healthcare,Mid-Market,1525,199483000.0,EMEA,Amsterdam,11300.0,11100.0,3500.0,0.787
A-10021,Aperture Industries,Retail,SMB,165,43695000.0,EMEA,Paris,1100.0,3400.0,1100.0,0.654
A-10022,Prestige Industries,Software,SMB,31,48550000.0,NA-West,Seattle,1000.0,2500.0,2900.0,0.834
A-10023,Oscorp Holdings,Retail,SMB,18,22367000.0,NA-West,San Francisco,2200.0,3000.0,700.0,0.371
A-10024,Cogswell Partners,Logistics,SMB,68,21011000.0,NA-East,Boston,1800.0,1500.0,1600.0,0.328
A-10025,Vandelay Technologies,Education,Mid-Market,1291,195012000.0,NA-West,Denver,6400.0,9600.0,3400.0,0.558
A-10026,Soylent Analytics,Retail,SMB,52,10757000.0,NA-East,Boston,400.0,1200.0,2100.0,0.497
A-10027,Umbra Analytics,Software,Mid-Market,1806,437198000.0,NA-East,New York,10900.0,6500.0,3400.0,0.431
A-10028,Wayne Solutions,Education,SMB,164,44709000.0,NA-West,Phoenix,1900.0,2700.0,1800.0,0.731
A-10029,Gekko Solutions,Manufacturing,SMB,62,4797000.0,NA-East,Boston,1400.0,3100.0,2300.0,0.772
A-10030,Wayne Digital,Energy,Mid-Market,948,143075000.0,NA-West,Phoenix,6200.0,4800.0,2700.0,0.244
A-10031,Tyrell Digital,Logistics,SMB,161,44993000.0,NA-East,New York,2100.0,3800.0,2800.0,0.8
A-10032,Massive Digital,Software,Mid-Market,1832,316352000.0,NA-East,Chicago,8600.0,7100.0,2400.0,0.458
A-10033,Hooli Technologies,Retail,Enterprise,42075,9670983000.0,NA-East,Chicago,31200.0,16500.0,14700.0,0.389
A-10034,Acme Networks,Healthcare,Enterprise,13450,9734441000.0,APAC,Singapore,9000.0,29100.0,8400.0,0.499
A-10035,Acme Partners,Education,SMB,138,47950000.0,NA-East,Atlanta,1800.0,4100.0,1000.0,0.807
A-10036,Northwind Industries,Logistics,SMB,91,19158000.0,NA-West,Los Angeles,2200.0,900.0,1300.0,0.095
A-10037,Cogswell Digital,Retail,Mid-Market,1308,463828000.0,EMEA,Madrid,9700.0,6300.0,2500.0,0.174
A-10038,Wayne Group,Energy,Mid-Market,581,409025000.0,EMEA,Amsterdam,5400.0,6200.0,1900.0,0.378
A-10039,Soylent Cloud,Energy,SMB,132,25050000.0,NA-East,Atlanta,3200.0,2300.0,1800.0,0.724
A-10040,Wayne Industries,Energy,Enterprise,15003,5402372000.0,NA-West,Los Angeles,9200.0,18100.0,13400.0,0.399
A-10041,Initech Holdings,Retail,Enterprise,12919,3999110000.0,NA-West,Phoenix,5500.0,24300.0,12300.0,0.431
A-10042,Oscorp Partners,Energy,Mid-Market,1061,203318000.0,NA-West,San Francisco,11700.0,9100.0,7000.0,0.776
A-10043,Soylent Labs,Logistics,Mid-Market,1575,322843000.0,EMEA,London,9900.0,8100.0,3400.0,0.55
A-10044,Vandelay Analytics,Manufacturing,Mid-Market,676,86534000.0,NA-East,Chicago,4400.0,9900.0,2400.0,0.512
A-10045,Aperture Labs,Manufacturing,Mid-Market,1863,404523000.0,NA-West,Denver,8300.0,9200.0,5300.0,0.598
A-10046,Stark Networks,Education,SMB,185,22519000.0,APAC,Bangalore,2000.0,1300.0,700.0,0.457
A-10047,Dunder Networks,Education,Mid-Market,1911,499808000.0,NA-East,Atlanta,8700.0,6500.0,2500.0,0.54
A-10048,Wonka Technologies,Media,Mid-Market,777,97070000.0,NA-West,Los Angeles,3600.0,7100.0,2200.0,0.434
A-10049,Cyberdyne Digital,Software,Mid-Market,1383,294167000.0,NA-East,Chicago,6100.0,7800.0,7200.0,0.722
A-10050,Sterling Solutions,Financial Services,Enterprise,3385,12785434000.0,NA-West,Denver,33000.0,34400.0,14000.0,0.747
A-10051,Sterling Partners,Logistics,SMB,144,21359000.0,NA-West,San Francisco,2100.0,3100.0,1500.0,0.552
A-10052,Tyrell Industries,Logistics,Mid-Market,680,51154000.0,NA-East,Boston,9300.0,8800.0,2900.0,0.427
A-10053,Sterling Holdings,Education,SMB,82,42945000.0,NA-East,Chicago,1800.0,2800.0,1700.0,0.329
A-10054,Gekko Networks,Media,Mid-Market,1765,443386000.0,NA-East,Chicago,6400.0,5900.0,1600.0,0.241
A-10055,Sterling Technologies,Financial Services,Mid-Market,1733,433554000.0,NA-East,Boston,10600.0,11300.0,4000.0,0.684
A-10056,Initech Analytics,Financial Services,Mid-Market,998,362301000.0,NA-West,Denver,11000.0,5600.0,2100.0,0.051
A-10057,Contoso Labs,Education,Enterprise,43800,12584352000.0,EMEA,Berlin,13400.0,25800.0,8800.0,0.578
A-10058,Prestige Group,Financial Services,SMB,93,17933000.0,NA-West,Denver,2500.0,2100.0,1000.0,0.482
A-10059,Sterling Partners,Software,Mid-Market,1960,346203000.0,NA-East,Atlanta,4700.0,8200.0,4000.0,0.755
A-10060,Dunder Group,Financial Services,Mid-Market,1826,340853000.0,NA-East,New York,5100.0,11300.0,6900.0,0.854
A-10061,Hooli Group,Retail,Mid-Market,1845,474885000.0,NA-East,Boston,11700.0,9400.0,3900.0,0.438
A-10062,Cyberdyne Digital,Media,Mid-Market,362,227559000.0,EMEA,London,4600.0,7200.0,3900.0,0.327
A-10063,Tyrell Labs,Healthcare,Enterprise,4176,1225637000.0,NA-West,Seattle,39900.0,36400.0,13000.0,0.852
A-10064,Cogswell Cloud,Healthcare,Enterprise,44499,13270977000.0,NA-West,Phoenix,34200.0,21700.0,7600.0,0.186
A-10065,Dunder Industries,Logistics,Mid-Market,1823,340172000.0,APAC,Tokyo,2600.0,6600.0,1500.0,0.139
A-10066,Umbra Networks,Manufacturing,Mid-Market,323,394321000.0,APAC,Bangalore,4100.0,3800.0,2200.0,0.16
A-10067,Prestige Partners,Healthcare,Mid-Market,397,439902000.0,EMEA,Berlin,3300.0,10900.0,6700.0,0.62
A-10068,Nakatomi Solutions,Media,Mid-Market,1123,99074000.0,EMEA,Amsterdam,7000.0,9300.0,6400.0,0.777
A-10069,Initech Solutions,Energy,SMB,23,4959000.0,NA-West,Phoenix,2600.0,3800.0,1700.0,0.818
